date,ticker
2017-01-31,EMBR3
2017-01-31,ENBR3
2017-01-31,EQTL3
2017-01-31,FIBR3
2017-01-31,GGBR4
2017-01-31,GOAU4
2017-01-31,GOLL4
2017-01-31,HYPE3
2017-01-31,ITSA4
2017-01-31,ITUB4
2017-01-31,JBSS3
2017-01-31,KLBN11
2017-01-31,LREN3
2017-01-31,MRFG3
2017-01-31,MRVE3
2017-01-31,MULT3
2017-01-31,NTCO3
2017-01-31,PCAR3
2017-01-31,PETR3
2017-01-31,PETR4
2017-01-31,QUAL3
2017-01-31,RADL3
2017-01-31,RAIL3
2017-01-31,RENT3
2017-01-31,SANB11
2017-01-31,SBSP3
2017-01-31,SUZB3
2017-01-31,TIMS3
2017-01-31,UGPA3
2017-01-31,USIM5
2017-01-31,VALE3
2017-01-31,VALE5
2017-01-31,VIVT3
2017-01-31,WEGE3
2017-01-31,YDUQ3
2017-02-28,ABEV3
2017-02-28,AMER3
2017-02-28,B3SA3
2017-02-28,BBAS3
2017-02-28,BBDC3
2017-02-28,BBDC4
2017-02-28,BBSE3
2017-02-28,BRAP4
2017-02-28,BRFS3
2017-02-28,BRKM5
2017-02-28,BRML3
2017-02-28,CCRO3
2017-02-28,CIEL3
2017-02-28,CMIG4
2017-02-28,COGN3
2017-02-28,CPFE3
2017-02-28,CPLE6
2017-02-28,CSAN3
2017-02-28,CSNA3
2017-02-28,CYRE3
2017-02-28,ECOR3
2017-02-28,EGIE3
2017-02-28,ELET3
2017-02-28,EMBR3
2017-02-28,ENBR3
2017-02-28,EQTL3
2017-02-28,FIBR3
2017-02-28,GGBR4
2017-02-28,GOAU4
2017-02-28,GOLL4
2017-02-28,HYPE3
2017-02-28,ITSA4
2017-02-28,ITUB4
2017-02-28,JBSS3
2017-02-28,KLBN11
2017-02-28,LREN3
2017-02-28,MRFG3
2017-02-28,MRVE3
2017-02-28,MULT3
2017-02-28,NTCO3
2017-02-28,PCAR3
2017-02-28,PETR3
2017-02-28,PETR4
2017-02-28,QUAL3
2017-02-28,RADL3
2017-02-28,RAIL3
2017-02-28,RENT3
2017-02-28,SANB11
2017-02-28,SBSP3
2017-02-28,SUZB3
2017-02-28,TIMS3
2017-02-28,UGPA3
2017-02-28,USIM5
2017-02-28,VALE3
2017-02-28,VALE5
2017-02-28,VIVT3
2017-02-28,WEGE3
2017-02-28,YDUQ3
2017-03-31,ABEV3
2017-03-31,AMER3
2017-03-31,B3SA3
2017-03-31,BBAS3
2017-03-31,BBDC3
2017-03-31,BBDC4
2017-03-31,BBSE3
2017-03-31,BRAP4
2017-03-31,BRFS3
2017-03-31,BRKM5
2017-03-31,BRML3
2017-03-31,CCRO3
2017-03-31,CIEL3
2017-03-31,CMIG4
2017-03-31,COGN3
2017-03-31,CPFE3
2017-03-31,CPLE6
2017-03-31,CSAN3
2017-03-31,CSNA3
2017-03-31,CYRE3
2017-03-31,ECOR3
2017-03-31,EGIE3
2017-03-31,ELET3
2017-03-31,EMBR3
2017-03-31,ENBR3
2017-03-31,EQTL3
2017-03-31,FIBR3
2017-03-31,GGBR4
2017-03-31,GOAU4
2017-03-31,GOLL4
2017-03-31,HYPE3
2017-03-31,ITSA4
2017-03-31,ITUB4
2017-03-31,JBSS3
2017-03-31,KLBN11
2017-03-31,LREN3
2017-03-31,MRFG3
2017-03-31,MRVE3
2017-03-31,MULT3
2017-03-31,NTCO3
2017-03-31,PCAR3
2017-03-31,PETR3
2017-03-31,PETR4
2017-03-31,QUAL3
2017-03-31,RADL3
2017-03-31,RAIL3
2017-03-31,RENT3
2017-03-31,SANB11
